Primary Street,1st Cross Street,2nd Cross Street,2011,2012,2013,2014,2015
MT ABERNATHY AVE,CHATEAU DR,BALBOA ARMS DR,8100,8100,8100,8000,8000
MT ABERNATHY AVE,BALBOA ARMS DR,BALBOA AVE,9700,10700,10700,10700,10700
MT ACADIA BLVD,MT ALIFAN DR,FIELD ST,8800,10300,10300,7600,8400
MT AGUILAR DR,PETIT ST/AUBURNDALE ST,MT ALIFAN DR,5100,4600,4600,4400,5100
MT ALIFAN DR,BALBOA AVE,MT ABRAHAM AVE,12900,12900,12900,12900,12900
MT ALIFAN DR,MT ABRAHAM AVE,MT AGUILAR DR,13200,12400,11100,11100,11100
MT ALIFAN DR,MT AGUILAR DR,GENESEE AVE,15300,15300,13700,13700,13700
MT ALIFAN DR,GENESEE AVE,MT ACADIA BLVD,12200,12800,12800,12800,12800
MT ALIFAN DR,MT ACADIA BLVD,MT EVEREST BLVD,4700,4700,4700,4600,4600
MT ALIFAN DR,MT EVEREST BLVD,MT TERMINUS DR,1700,1700,1700,1700,1700
MT ARARAT DR,MT EVEREST BLVD,MT ARIANE DR,2200,2200,2200,2200,2200
MT ETNA DR,MT HERBERT AVE,MT EVEREST BLVD,3200,3200,3100,3500,3500
MT ETNA DR,MT EVEREST BLVD,GENESEE AVE,5300,5300,4700,4700,4700
MT EVEREST BLVD,MT HARRIS DR,MT ETNA DR,1600,1600,1300,1300,1300
MT EVEREST BLVD,MT ETNA DR,BALBOA AVE,4800,4800,5300,4500,4000
MT EVEREST BLVD,BALBOA AVE,MT ALIFAN DR,6200,6200,5700,5700,5700
MT EVEREST BLVD,MT ALIFAN DR,MT BLANCA DR,5300,5300,5300,4500,4500
MT HERBERT AVE,GENESEE AVE,MT ETNA DR,3800,3800,3800,2900,2900
MT HERBERT AVE,MT ETNA DR,MT HUBBARD AVE,3400,3400,2500,2500,2500
MUNDA RD,ALLEGHENY ST,PARADISE VALLEY RD,3900,4600,3300,3300,4100
MURPHY CANYON RD,CLAIREMONT MESA BLVD,AERO DR,6700,11900,11900,12200,5700
MURPHY CANYON RD,AERO DR,STONECREST BLVD,12500,12500,12500,12500,12500
MURPHY CANYON RD,STONECREST BLVD,I-15 ON-RAMP,9800,9800,9800,9500,9500
MURRAY CANYON RD,METROPOLITAN RD,MISSION HEIGHTS RD,4400,4400,4400,5400,5400
MURRAY CANYON RD,MISSION HEIGHTS RD,FRAZEE RD,6000,5900,5900,5400,5400
MURRAY PARK,RIDGE MANOR AVE,PARK RIDGE BLVD,3300,3300,3300,2900,2900
MURRAY PARK/GOLFCREST DR,PARK RIDGE BLVD,WANDEMERE DR,3200,3200,3200,2700,2700
MURRAY RIDGE RD,SANDROCK RD,PINECREST AVE,9500,8500,8500,8500,8500
MURRAY RIDGE RD,PINECREST AVE,MISSION CENTER RD,13300,12800,12800,12800,12800
MURRAY RIDGE RD,MISSION CENTER RD,INTERSTATE 805,16100,15900,15900,15900,15900
NANCY RIDGE DR,CARROLL CANYON RD,CARROLL RD,2500,2500,2500,2500,2500
NAPA ST,MORENA BLVD,LINDA VISTA RD,14400,14400,14400,14100,14900
NAPA ST,LINDA VISTA RD,FRIARS RD,10900,11600,11600,11600,11600
NARRAGANSETT AVE,BACON ST,SUNSET CLIFFS BLVD,2400,2400,4200,4200,4200
NARRAGANSETT AVE,SUNSET CLIFFS BLVD,SANTA BARBARA ST,3000,3000,2900,2900,2900
NARRAGANSETT AVE,SANTA BARBARA ST,CATALINA BLVD,4600,4600,4500,4500,4500
NARRAGANSETT AVE,CATALINA BLVD,CHATSWORTH BLVD,3400,3400,3400,3400,3400
NATIONAL AVE,IMPERIAL AVE,SIGSBEE ST,2700,2700,2800,2800,2800
NATIONAL AVE,SIGSBEE ST,CESAR CHAVEZ PKWY,5100,5100,5100,5700,5900
NATIONAL AVE,CESAR CHAVEZ PKWY,CORONADO BRIDGE,3500,3500,3500,3500,3500
NATIONAL AVE,CORONADO BRIDGE,SAMPSON ST,3500,3500,3500,4000,3500
NATIONAL AVE,SAMPSON ST,INTERSTATE 5/27TH ST,7800,7800,7800,7800,7800
NATIONAL AVE,INTERSTATE 5/27TH ST,28TH ST,12600,12600,12600,12600,12600
NATIONAL AVE,28TH ST,30TH ST,12600,14100,8300,10700,10700
NATIONAL AVE,30TH ST,32ND ST,11700,11700,7900,9900,11100
NATIONAL AVE,32ND ST,ROUTE 15,9700,9700,10000,10000,10000
NATIONAL AVE,ROUTE 15,38TH ST,10800,10400,10400,10400,12000
NATIONAL AVE,38TH ST,43RD ST,11000,11000,10600,10600,10600
NAUTILUS ST,LA JOLLA BLVD,FAY AVE,6100,6100,5900,5900,5900
NAUTILUS ST,FAY AVE,WEST MUIRLANDS DR,9000,10500,9200,9200,11700
NAUTILUS ST,WEST MUIRLANDS DR,MUIRLANDS DR,14000,14000,13800,13800,13800
NAUTILUS ST,MUIRLANDS DR,LA JOLLA SCENIC DR,10900,10900,10900,11200,11200
NAVAJO RD,WARING RD/COLLEGE AVE,PARK RIDGE BLVD,16200,16200,16700,16700,16700
NAVAJO RD,PARK RIDGE BLVD,JACKSON DR,15800,14500,14500,14500,15800
NAVAJO RD,JACKSON DR,GOLFCREST DR,14200,14200,14200,13500,13500
NAVAJO RD,GOLFCREST DR,COWLES MOUNTAIN BLVD,16000,16000,16000,17300,17300
NAVAJO RD,COWLES MOUNTAIN BLVD,BOULDER LAKE AVE,15500,15500,15500,16100,16100
NAVAJO RD,BOULDER LAKE AVE,LAKE MURRAY BLVD,20500,20500,20000,20400,20400
NAVAJO RD,LAKE MURRAY BLVD,FANITA DR,37100,37100,37100,37100,37100
NEWPORT AVE,ABBOTT ST,BACON ST,6400,6400,5300,5300,5300
NEWPORT AVE,BACON ST,CABLE ST,5300,5300,5300,5300,5300
NEWPORT AVE,CABLE ST,SUNSET CLIFFS BLVD,8200,8200,6200,6200,6200
NEWPORT AVE,SUNSET CLIFFS BLVD,VENICE ST,2200,2200,2200,2200,2200
NEW SALEM ST,SUNNY MEADOW ST,PARKDALE AVE,3600,3600,3600,3500,3500
NEW SALEM ST,PARKDALE AVE,CAMINO RUIZ,5800,5800,7300,7300,7400
NEW SALEM ST,CAMINO RUIZ,MIRA MESA BLVD,6100,6100,6100,5700,5500
NIAGARA AVE,BACON ST,SUNSET CLIFFS BLVD,2000,2000,2000,1800,1800
NILE ST,THORN ST,LANDIS ST,4300,4300,4300,4300,4300
NIMITZ BLVD,SUNSET CLIFFS BLVD,WEST POINT LOMA BLVD,43800,43800,43800,47800,47800
NIMITZ BLVD,WEST POINT LOMA BLVD,FAMOSA BLVD,36600,35400,35400,35400,36300
NIMITZ BLVD,FAMOSA BLVD,VOLTAIRE ST,20800,20800,21900,21900,21900
NIMITZ BLVD,VOLTAIRE ST,CHATSWORTH BLVD,21600,21600,22300,22300,22300
NIMITZ BLVD,CHATSWORTH BLVD,EVERGREEN ST,20000,20000,15900,15900,15900
NIMITZ BLVD,EVERGREEN ST,ROSECRANS ST,20000,20000,20000,20000,20000
NIMITZ BLVD,ROSECRANS ST,NORTH HARBOR DR,12900,12900,12900,12900,13400
NOBEL DR,VILLA LA JOLLA DR,INTERSTATE 5,15000,15000,15000,15700,15700
NOBEL DR,INTERSTATE 5,REGENTS RD,29100,29100,29100,29100,29100
NOBEL DR,REGENTS RD,GENESEE AVE,22700,22700,22700,22400,21600
NOBEL DR,GENESEE AVE,TOWNE CENTRE DR,18300,18300,18300,18500,18500
NOBEL DR,TOWNE CENTRE DR,SHORELINE DR,12400,12400,12400,12800,12900
NOELL ST,PACIFIC HWY,HANCOCK ST,2400,2400,2500,2500,2500
NOELL ST,HANCOCK ST,INTERSTATE 5,2800,2800,3100,3100,3100
NOELL ST,INTERSTATE 5,SAN DIEGO AVE,3700,3700,4200,4200,4200
NORMAL ST,EL CAJON BLVD,WASHINGTON ST,24800,24100,24100,23700,21900
NORMAL ST,WASHINGTON ST,LINCOLN AVE,2000,2100,2100,2100,1700
NORMAL ST,LINCOLN AVE,UNIVERSITY AVE,4300,4300,3600,3600,3600
NORTH HARBOR DR,ROSECRANS ST,SCOTT ST,7600,7600,7200,7200,8000
NORTH HARBOR DR,SCOTT ST,NIMITZ BLVD,17000,17000,17000,16300,11800
NORTH HARBOR DR,NIMITZ BLVD,SPANISH LANDING,28700,25400,25400,25400,19600
NORTH HARBOR DR,SPANISH LANDING,HARBOR ISLAND DR,29500,29500,29500,29500,29500
NORTH HARBOR DR,HARBOR ISLAND DR,WINSHIP LN,29800,29800,29800,29800,29800
NORTH HARBOR DR,WINSHIP LN,LAUREL ST,88000,73300,84700,84700,81800
NORTH HARBOR DR,LAUREL ST,HAWTHORN ST,36500,36500,55300,55300,55300
NORTH HARBOR DR,HAWTHORN ST,GRAPE ST,29500,29500,35100,37600,37600
NORTH HARBOR DR,GRAPE ST,ASH ST,16900,16900,18900,23500,23500
NORTH HARBOR DR,ASH ST,BROADWAY,13900,13900,13900,18200,18200
NORTH HARBOR DR,BROADWAY,HARBOR DR,9800,9800,9800,9600,9600
NORTH MISSION BAY DR,MISSION BAY DR,DE ANZA RD,4500,42000,42000,42000,3200
NORTH MISSION BAY DR,DE ANZA RD,END,1300,1300,1300,1100,1100
NORTH PARK WY,UTAH ST,30TH ST,3100,3100,3100,3100,3100
NORTH PARK WY,30TH ST,32ND ST,7100,7100,7100,7100,7100
NORTH PARK WY,32ND ST,BOUNDARY ST,8400,8400,7100,7100,7100
NORTH TORREY PINES RD,CARMEL VALLEY RD,CALLAN RD,15300,15300,15300,18600,16000
NORTH TORREY PINES RD,CALLAN RD,GENESEE AVE,23300,15900,22000,27600,27600
NORTH TORREY PINES RD,GENESEE AVE,LA JOLLA SHORES DR,17900,17900,17900,17900,19100
NORTH TORREY PINES RD,LA JOLLA SHORES DR,LA JOLLA VILLAGE DR,23200,23200,23200,23600,21100
NORTHSIDE DR,BEGIN,FRIARS RD,5900,20400,20400,20400,19900
OAKRIDGE RD,PARK RIDGE BLVD,END,2300,2300,2300,2800,2800
OCEAN VIEW BLVD,COMMERCIAL ST,SAMPSON ST,2200,2200,2200,2200,2200
OCEAN VIEW BLVD,SAMPSON ST,28TH ST,3400,3400,3500,3500,3500
OCEAN VIEW BLVD,28TH ST,30TH ST,5600,5600,2600,2600,2600
OCEAN VIEW BLVD,30TH ST,32ND ST,7800,7800,7800,7800,7700
OCEAN VIEW BLVD,32ND ST,ROUTE 15,16900,16000,16000,16000,15700
OCEAN VIEW BLVD,ROUTE 15,38TH ST,15600,15600,15600,12600,18000
OCEAN VIEW BLVD,38TH ST,INTERSTATE 805,6900,6900,10300,6800,6800
OCEAN VIEW BLVD,INTERSTATE 805,47TH ST,5000,5000,5000,5400,5400
OHIO ST,ADAMS AVE,MADISON AVE,8200,8200,8200,8500,8500
OLD PASQUAL RD,SAN PASQUAL RD,ROUTE 78,4900,4900,4900,4900,4900
OLD TOWN AVE,HANCOCK ST,SAN DIEGO AVE,15000,11700,13600,12400,12400
OLNEY ST,GRAND AVE,PACIFIC BEACH DR,5000,5000,5000,4400,4800
OLVERA AVE/58TH ST,EUCLID AVE,SKYLINE DR,4200,4200,4200,4800,1500
ORANGE AVE,INTERSTATE 805,35TH ST,7500,7500,7500,7500,7500
ORANGE AVE,35TH ST,40TH ST,7400,7400,7100,7100,7100
ORANGE AVE,40TH ST,43RD ST,9900,9900,9800,9800,9800
ORANGE AVE,43RD ST,FAIRMOUNT AVE,11800,11800,11800,7200,7200
ORANGE AVE,FAIRMOUNT AVE,EUCLID AVE,9500,9500,9500,9500,9500
ORANGE AVE,EUCLID AVE,54TH ST,6400,6400,6400,6400,6100
ORCUTT AVE,ESTRELLA AVE,50TH ST,4000,4000,4000,2500,2500
ORCUTT AVE,50TH ST,WARING RD,4200,4200,4200,4300,4300
ORO VISTA RD,IRIS AVE,TOCAYO AVE,8800,8800,8800,4800,4800
OSBORNE ST,MARINE VIEW AVE,DIVISION ST,16400,16400,16400,17300,17300
OTAY CENTER DR,OTAY CENTER CT,SIEMPRE VIVA RD,3700,3700,3700,3700,3700
OTAY MESA RD,BEYER BLVD,ROUTE 905,8400,7400,2900,2900,2900
OTAY MESA RD,ROUTE 905,HERITAGE RD,67000,67000,14500,13100,13100
OTAY MESA RD,HERITAGE RD,CACTUS RD,64200,9900,9900,9400,9400
OTAY MESA RD,CACTUS RD,RT 905/PASEO INTERN'L,42800,9700,9700,9900,9900
OTAY MESA RD,RT 905/PASEO INTERN'L,SANYO AVE,8700,8700,8700,12300,12300
OTAY MESA RD,SANYO AVE,E CITY LIMITS,10200,10200,10200,10200,10200
PACIFIC BEACH DR,LAMONT ST,INGRAHAM ST,2800,2800,2800,2800,2900
PACIFIC BEACH DR,INGRAHAM ST,RIVIERA DR,5600,5600,5600,4300,4300
PACIFIC BEACH DR,RIVIERA DR,FANUEL ST,12300,12300,12300,9900,8800
PACIFIC BEACH DR,FANUEL ST,CASS ST,7800,7800,6800,6800,8100
PACIFIC BEACH DR,CASS ST,MISSION BLVD,8400,8400,8400,8400,6800
PACIFIC CENTER BLVD,LUSK BLVD,MCKELLAR CT,8700,7800,7800,7800,7800
PACIFIC CENTER BLVD,MCKELLAR CT,PACIFIC MESA BLVD,7200,7200,7200,7200,7200
PACIFIC HEIGHTS BLVD,PACIFIC CENTER BLVD,BARNES CANYON RD,7500,7500,7500,7400,7400
PACIFIC HEIGHTS BLVD,BARNES CANYON RD,MIRA MESA BLVD,17700,17700,17700,17700,17700
PACIFIC HEIGHTS BLVD,MIRA MESA BLVD,CARROLL CANYON RD,7700,7700,7900,7900,7900
PACIFIC HWY,SEA WORLD DR,ROSECRANS ST,8300,8300,8300,6400,6400
PACIFIC HWY,ROSECRANS ST,TRANSIT CENTER,15400,15400,13100,13100,13100
PACIFIC HWY SB,TRANSIT CENTER,KURTZ ST,7000,7000,7000,7000,7000
PACIFIC HWY NB,TRANSIT CENTER,KURTZ ST,7000,7000,7000,7000,7000
PACIFIC HWY SB,KURTZ ST,BARNETT AVE,27600,27600,22300,22300,22300
PACIFIC HWY NB,KURTZ ST,BARNETT AVE,27600,27600,22300,22300,22300
PACIFIC HWY SB,BARNETT AVE,WASHINGTON ST,27800,27800,27800,21700,21700
PACIFIC HWY NB,BARNETT AVE,WASHINGTON ST,27800,27800,27800,21700,21700
PACIFIC HWY SB,WASHINGTON ST,PACIFIC HWY VIADUCT (I-5),31550,31550,31550,31550,31550
PACIFIC HWY NB,WASHINGTON ST,PACIFIC HWY VIADUCT (I-5),31550,31550,31550,31550,31550
PACIFIC HWY,PACIFIC HWY VIADUCT (I-5),SASSAFRAS ST,10100,10100,9000,12100,12100
PACIFIC HWY,SASSAFRAS ST,LAUREL ST,23000,23000,21600,21600,21600
PACIFIC HWY,LAUREL ST,HAWTHORN ST,12800,12800,12800,8700,8700
PACIFIC HWY,HAWTHORN ST,GRAPE ST,20000,20000,20000,20000,20000
PACIFIC HWY,GRAPE ST,ASH ST,18500,18500,18500,18500,18500
PACIFIC HWY,ASH ST,BROADWAY,13400,13200,13200,13200,13200
PACIFIC HWY,BROADWAY,F ST,9400,9400,10100,10000,10000
PACIFIC HWY,F ST,G ST,9700,9700,10200,10200,10200
PACIFIC HWY,G ST,HARBOR DR,5800,5800,5800,7900,9400
PACIFIC HWY,HARBOR DR,SEAPORT VILLAGE,5000,5000,5000,5000,5000
PACIFIC HWY VIADUCT (I-5),PACIFIC HWY,INTERSTATE 5 (QUINCE),40000,40000,40000,40000,40000
PACIFIC MESA BLVD,PACIFIC CENTER BLVD,PACIFIC HEIGHTS BLVD,7100,7100,7100,7100,7100
PACIFICA DR,BLUFFSIDE AVE,LORING ST,4100,4100,4100,3800,3600
PALM AVE/ROUTE 75,13TH ST,SATURN BLVD,46700,43100,43100,43100,45100
PALM AVE/ROUTE 75,SATURN BLVD,INTERSTATE 5,63000,62900,62900,62900,35200
PALM AVE,INTERSTATE 5,HOLLISTER ST,22800,22800,20900,20900,20900
PALM AVE,HOLLISTER ST,BEYER BLVD,14100,13500,13500,13500,13500
PALM AVE,BEYER BLVD,BEYER WAY,17600,17600,17600,13800,13800
PALM AVE,BEYER WAY,PICCARD AVE,21900,18800,17200,17200,20100
PALM AVE,PICCARD AVE,TWINING AVE,17500,17500,18100,18100,18100
PALM AVE,TWINING AVE,INTERSTATE 805,28200,25100,25100,25100,28600
PALM ST,PACIFIC HWY,KETTNER BLVD,3000,3000,3700,3700,3700
PALMILLA DR,LEBON DR,LA JOLLA COLONY DR,6000,6000,6000,4900,4900
PARADISE VALLEY RD,PLAZA BLVD/CITY LIMITS,MUNDA RD,20000,18900,18900,18900,18200
PARADISE VALLEY RD,MUNDA RD,POTOMAC ST,17800,16700,16700,16700,17100
PARADISE VALLEY RD,POTOMAC ST,WOODMAN ST,19300,19000,16300,16300,17900
PARADISE VALLEY RD,WOODMAN ST,BRIARWOOD RD,17400,17400,17400,15700,15700
PARADISE VALLEY RD,BRIARWOOD RD,MEADOWBROOK DR,16400,16400,16300,16300,16300
PARADISE VALLEY RD,MEADOWBROOK DR,SAN DIEGO CITY BOUNDARY,19500,19500,19500,19100,19100
PARK BLVD,ADAMS AVE,MEADE AVE,8900,8900,8900,6400,5200
PARK BLVD,MEADE AVE,EL CAJON BLVD,16900,16900,13400,13400,13400
PARK BLVD,EL CAJON BLVD,HOWARD AVE,10800,10800,10900,10900,10900
PARK BLVD,HOWARD AVE,UNIVERSITY AVE,14500,14500,8900,11900,11900
PARK BLVD,UNIVERSITY AVE,ROBINSON AVE,14200,13400,13400,13400,13500
PARK BLVD,ROBINSON AVE,MORLEY FIELD DR,11700,11700,11000,11000,11900
PARK BLVD,MORLEY FIELD DR,ZOO PL,9900,9900,9900,10400,10400
PARK BLVD,ZOO PL,VILLAGE PL,17100,17100,17100,16000,16000
PARK BLVD,VILLAGE PL,PRESIDENTS WAY,18400,18400,18600,18600,16900
PARK BLVD,PRESIDENTS WAY,INTERSTATE 5,17900,18200,18200,18200,19500
PARK BLVD,INTERSTATE 5,RUSS BLVD,9900,9900,16500,16500,16500
PARK BLVD,RUSS BLVD,B ST,16000,16000,15300,15300,15300
PARK BLVD,B ST,C ST,8300,8300,7200,8700,8700
PARK BLVD,C ST,BROADWAY,3400,3400,4100,4100,4100
PARK BLVD,BROADWAY,F ST,1200,1200,1800,1800,1800
PARK BLVD,F ST,G ST,1100,1100,1400,1400,1400
PARK BLVD,G ST,MARKET ST,1900,1900,1900,2300,2300
PARK BLVD,MARKET ST,IMPERIAL AVE,700,700,1300,1900,1900
PARK RIDGE BLVD,MURRAY PARK DR,WANDEMERE DR,1100,1100,1100,1300,1300
PARK RIDGE BLVD,WANDEMERE DR,NAVAJO RD,4000,4000,3400,3400,3400
PARK RIDGE BLVD,NAVAJO RD,OAKRIDGE RD,5400,5400,5400,5400,5400
PARK RIDGE BLVD,OAKRIDGE RD,JACKSON DR,2600,2600,2600,2600,2900
PARK VILLAGE RD,MANNIX RD,CAMINO DEL SUR,5400,5400,5400,5400,5600
PARK VILLAGE RD,CAMINO DEL SUR,DARKWOOD RD,8900,8900,8900,8900,8900
PARK VILLAGE RD,DARKWOOD RD,BLACK MOUNTAIN RD,17300,17300,17300,17500,16700
PARKDALE AVE,NORTHRUP DR,MIRA MESA BLVD,4000,4000,4000,4000,3600
PARKDALE AVE,MIRA MESA BLVD,NEW SALEM ST,4300,4300,4300,4700,4600
PARKSIDE AVE,ALTA VIEW DR,TONAWANDA DR/REO DR,6000,6000,6400,6400,7800
PASEO DE LAS AMERICAS,AIRWAY RD,SIEMPRE VIVA RD,4400,6300,6300,6300,6300
PASEO DEL VERANO,POMERADO RD,CUMANA TERRACE,3400,3400,3400,3400,3400
PASEO DEL VERANO NORTE,CUMANA TERRACE,POMERADO RD,4400,4400,4400,4400,4400
PASEO LUCIDO,BERNARDO HEIGHTS PKWY (N),BERNARDO HEIGHTS PKWY(S),9900,9900,12000,12000,12000
PASEO LUCIDO,BERNARDO HEIGHTS PKWY (S),CAMINO DEL NORTE,17200,17200,22100,22100,22100
PASEO MONTALBAN,BLACK MOUNTAIN RD,SALMON RIVER RD,7900,7900,7300,7300,7300
PASEO MONTALBAN,SALMON RVIER RD,CARMEL MOUNTAIN RD,8900,8900,8900,8900,8900
PASEO MONTRIL,CIJON ST,RANCHO PENASQUITOS BLVD,2600,2600,2500,1300,1300
PASEO MONTRIL,RANCHO PENASQUITOS BLVD,END,4800,4800,4400,4400,4400
PEARL ST,LA JOLLA BLVD,FAY AVE,21200,21200,20200,20200,20200
PEARL ST,FAY ST,GIRARD AVE,24900,24900,22700,22700,22700
PEARL ST,GIRARD AVE,HERSCHEL AVE,7700,7700,7700,5100,5100
PEARL ST,HERSCHEL AVE,HIGH AVE,3100,3100,3100,3000,3000
PENASQUITOS DR,CARMEL MOUNTAIN RD,ALMAZON ST,19900,19900,19900,14200,14200
PENNANT WAY,REGENTS RD,STRESEMANN ST,5600,5600,5600,5700,5700
PEREZ COVE WY,SEA WORLD DR,SOUTH SHORES RD,3700,3700,3700,3700,3700
PEREZ COVE WY,SOUTH SHORES RD,INGRAHAM ST,7900,7900,7900,7900,7900
PERSHING DR,UPAS ST,REDWOOD ST,6000,6000,6300,6300,6300
PERSHING DR,REDWOOD ST,FLORIDA DR,12600,13500,13500,13500,12800
PERSHING DR,FLORIDA DR,I-5/B ST,36100,36100,33600,33600,33600
PHYLLIS PLACE,RON COURT,INTERSTATE 805,2500,2500,2500,2500,2500
PICADOR BLVD,PALM AVE,BEYER WAY,13600,13600,13600,14100,14100
PICADOR BLVD,BEYER WAY,DEL SOL BLVD,10900,10900,10900,10900,10900
PICADOR BLVD,DEL SOL BLVD,ROUTE 905,9500,9500,9500,19000,19000
PICCARD AVE,PALM AVE,DEL SOL BLVD,5400,5400,5400,6000,6000
PICO/FELSPAR ST,BLUFFSIDE AVE,SOLEDAD MOUNTAIN RD,4100,4100,9100,9100,9100
PINECREST AVE,MURRAY RIDGE RD,GREYLING DR,700,700,700,700,700
PLAZA BLVD,PARADISE VALLEY RD,DAISY WAY,4700,4700,4700,4700,4700
PLAZA BLVD,DAISY WAY,DIVISION ST,4700,4700,4700,4400,4400
PLAZA BLVD,DIVISION ST,PLAZA TAXCO,6200,6200,6200,6200,5700
PLAZA BLVD,PLAZA TAXCO,WOODMAN ST,5500,5500,5500,5500,5500
PLUM ST,MACAULAY ST,LOWELL ST,4400,4000,4000,4000,3700
POBLADO RD,WEST BERNARDO DR,MATINAL RD,4000,4000,4000,6300,6300
POINSETTIA DR,LELAND ST,LOTUS DR,4700,4700,4300,4300,5600
POINT LOMA AVE,SUNSET CLIFFS BLVD,SANTA BARBARA ST,3700,3700,2400,2400,2400
POINT LOMA AVE,SANTA BARBARA ST,CATALINA BLVD,5400,5500,5500,5300,5300
POINT LOMA AVE,CATALINA BLVD,CANON ST,2100,2100,2200,2200,2200
POMERADO RD,INTERSTATE 15,HIGHLAND VALLEY RD,19800,19800,19000,19000,19000
POMERADO RD,HIGHLAND VALLEY RD,PASEO DEL VERANO NORTE,15100,15100,15100,10800,10800
POMERADO RD,PASEO DEL VERANO NORTE,GREENS EAST RD,15200,15200,19300,19300,19300
POMERADO RD,GREENS EAST RD,RANCHO BERNARDO RD,18700,18800,19900,20800,20300
POMERADO RD,RANCHO BERNARDO RD,BERNARDO HEIGHTS PKWY,27900,19500,18800,16900,19500
POMERADO RD,CREEK RD/BEELER CANYON RD,LEGACY RD,19800,19800,19800,19800,19800
POMERADO RD,LEGACY RD,SPRING CANYON RD,21400,20600,21000,21200,18800
POMERADO RD,SPRING CANYON RD,SEMILLON BLVD,16000,16000,16000,11700,11700
POMERADO RD,SEMILLON BLVD,FAIRBROOK RD,19300,19300,19300,19700,19700
POMERADO RD,FAIRBROOK RD,AVENIDA MAGNIFICA,20700,20700,20300,20300,20300
POMERADO RD,AVENIDA MAGNIFICA,SCRIPPS RANCH BLVD,22100,22100,22100,22300,22300
POMERADO RD,SCRIPPS RANCH BLVD,WILLOW CREEK RD,23700,23200,23200,23200,22200
POMERADO RD,WILLOW CREEK RD,INTERSTATE 15,29100,27800,27800,27800,27600
POPLAR ST/VIOLET/PEPPER,INTERSTATE 805,FAIRMOUNT AVE,3600,3600,3600,3300,3300
PORTOBELLO DR,SANTO RD,VIA VALARTA,5600,2500,2500,2500,2500
PORTOFINO DR,DEL MAR HEIGHTS RD,MANGO DR,1700,1700,1700,1700,1900
PORTOFINO DR,MANGO DR,CARMEL VALLEY RD,2100,2100,2100,2100,2100
POTOMAC ST,RACHEL AVE,REO DR,2300,2300,2300,2300,2300
POTOMAC ST,REO DR,CALLE TRES LOMAS,2300,2300,2300,2300,1700
POTOMAC ST,CALLE TRES LOMAS,ALTA VIEW DR,4500,3800,3800,5000,3400
POTOMAC ST,ALTA VIEW DR,PARADISE VALLEY RD,5800,5800,5800,5600,5600
POWAY RD,INTERSTATE 15,SABRE SPRINGS PKWY,44100,45300,45300,40400,44000
POWAY RD,SABRE SPRINGS PKWY,CITY LIMITS,37800,37800,37300,37700,37700
PRESIDENTS WY,PAN AMERICAN RD,PARK BLVD,4200,4200,4200,6500,6500
PRESIDIO DR,TAYLOR ST,JACKSON ST,3700,3700,3700,3700,3700
PRESIDIO DR,JACKSON ST,COSOY WAY,1600,1600,1400,1400,1400
PRESIDIO DR,COSOY WAY,ARISTA ST,3300,3600,3600,3600,1500
PRINCESS VIEW DR,MISSION GORGE RD,FONTAINE ST,3900,3900,3900,3900,3900
PRINCESS VIEW DR,FONTAINE ST,WARING RD,5500,5500,5500,5500,5500
PROSPECT PL/ST,TORREY PINES RD,GIRARD AVE,20600,20600,20600,15700,16500
PROSPECT ST,GIRARD AVE,LA JOLLA BLVD,7900,8800,8800,8800,8500
QUALCOMM WAY,FRIARS RD,CAMINO DEL RIO NORTH,28700,25800,25800,25800,22900
QUALCOMM WAY,CAMINO DEL RIO NORTH,INTERSTATE 8,37000,26700,26700,31400,39300
QUIVIRA RD,W MISSION BAY DR-CONNECT,QUIVIRA WY,2300,2300,1700,1700,1700
QUIVIRA WY,QUIVIRA CT,SUNSET CLIFFS BL-CONNECT,2700,2700,2700,2700,2700
RAJEAN AVE,GREYLING DR,MURRAY RIDGE RD,3200,3200,3200,2100,2100
RANCHO BERNARDO RD,CAMINO SAN BERNARDO,MATINAL RD,4900,4900,4900,4900,4900
RANCHO BERNARDO RD,MATINAL RD,W BERNARDO DR,28400,28400,28400,27000,27000
RANCHO BERNARDO RD,W BERNARDO DR,INTERSTATE 15,45200,45200,44500,44500,44500
RANCHO BERNARDO RD,INTERSTATE 15,BERNARDO CENTER DR,39000,39000,39000,40000,40000
RANCHO BERNARDO RD,BERNARDO CENTER DR,BERNARDO OAKS DR,33100,33100,33100,33100,33100
RANCHO BERNARDO RD,BERNARDO OAKS DR,POMERADO RD,27000,27000,26400,26400,26400
RANCHO BERNARDO/ESPOLA RD,POMERADO RD,AVENIDA FLORENCIA,21200,21200,20200,20200,20200
RANCHO CARMEL DR,CARMEL MOUNTAIN RD (N),CARMEL MOUNTAIN RD,16100,16100,16100,16100,16100
RANCHO CARMEL DR,CARMEL MOUNTAIN RD,TED WILLIAMS PKWY,11800,11800,14500,14500,14500
RANCHO HILLS DR,DEAUVILLE ST,REO DR,500,500,500,600,600
RANCHO HLS/CL TRES LOMAS,REO DR,POTOMAC ST,1800,1800,1800,1700,1700
RANCHO MISSION RD,FRIARS RD,SAN DIEGO MISSION RD,9100,10400,10400,10400,12400
RANCHO MISSION RD/WARD RD,SAN DIEGO MISSION RD,CAMINO DEL RIO N,8600,8600,8600,8600,8600
RANCHO PENASQUITOS BLVD,CARMEL MOUNTAIN RD,TED WILLIAMS PKWY/RT56,27000,27000,27000,28700,28700
